utterance,intent,entity_type,domain_valid,source,is_infrastructure,is_service,is_metric,is_incident,is_job,is_pipeline,is_unknown,is_sre_domain,has_runbook,is_known_incident,is_metric_query
summarize the horizontal pod autoscaler activity,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
provide a recap of the cost trends by environment,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,1
how do I play basketball,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
configure the health check interval to 30 seconds,execution,metric,1,level5_base,0,0,1,0,0,0,0,1,1,0,0
inject a latency fault into the payment service,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,1
summarize the observability stack health,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
why is the backup not completing within the window,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
summarize the scheduled downtime impact on availability sla,summarization,metric,1,level5_base,0,0,1,0,0,0,0,1,0,1,1
tell me about travel,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
check why the message acknowledgment is not being sent,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
enable the volume snapshot class for backup,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
restart the message queue consumers,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
tell me about the industrial revolution,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
check why the aggregation job is producing empty output,investigate,job,1,level5_base,0,0,0,0,1,0,0,1,0,0,0
what is a comet,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a brief on the service catalog update status,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
how do I learn woodworking,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
analyze the rate of retries on downstream calls,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
who wrote the aeneid,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the load test performance baseline results,summarization,job,1,level5_base,0,0,0,0,1,0,0,0,0,0,0
how do I start a business,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
analyze the pod restart loop on the payment service,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
tell me about dinosaurs,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is the population of the earth,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
check why the kubernetes node is not ready,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
provision additional read replicas for the database,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
provide a recap of the network changes this quarter,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
how do I make ice cream,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I juggle,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate the TLS handshake failures,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
provide a brief on the message delivery success rate,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
provide a recap of the release frequency this quarter,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,0,0,0,0
give me an overview of the release notes for version 5.0,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,0,0,0,0
investigate disk I/O bottleneck,investigate,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,0
who painted starry night,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why is throughput degraded,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,1
provide a summary of the log analysis findings,summarization,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,0
tell me about the bermuda triangle,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
who composed requiem,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a brief of the runbook updates this month,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
stop the runaway query,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
run the chef recipe on the fleet,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
summarize the observability signal quality this quarter,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
tell me about ancient greece,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
configure the destination rule circuit breaker,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
check why the database schema version does not match,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
give me a summary of the pod scheduling efficiency,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
tell me about the han dynasty,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
tell me about the great barrier reef,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide node status summary,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
investigate the broken pipe errors in application logs,investigate,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
what is causing service degradation,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
tell me about the crusades,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I learn morse code,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
