utterance,gold_intent,facts,constraints,allowed_intents,suppressed_intents
why is server host123 cpu high,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
check memory usage on db-server-7,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what caused the outage last night,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': True}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
show me errors from the last deployment,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': True}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
analyze why response time increased,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
investigate cpu spike on web-server-3,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what is causing high memory on app-01,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
why did the database go down,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
show me the root cause of latency issues,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
analyze the performance degradation,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is disk usage at 90 percent,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
check network connectivity on prod-env,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what caused the service failure,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
investigate error rate spike in production,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why are requests timing out,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze the failed deployment,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what triggered the alert,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
check for anomalies in metrics,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate the database slowdown,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is load balancer unhealthy,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
