utterance,intent,entity_type,domain_valid
enable auto-healing,execution,unknown,False
summarize the network topology changes this sprint,summarization,metric,True
provide an overview of the service health by business domain,summarization,service,True
check network connectivity on prod-env,investigate,metric,True
give me a recap of the key findings from the postmortem review,summarization,unknown,False
summarize the observability signal quality this quarter,summarization,metric,True
what is causing the tcp connection reset by peer,investigate,infrastructure,True
switch traffic to the blue deployment,execution,pipeline,True
tell me about chameleons,out_of_scope,unknown,False
check what is triggering the oom killer,investigate,metric,True
what is causing the high variance in response times,investigate,incident,True
why are requests timing out,investigate,unknown,True
apply the blkio throttle policy to the container,execution,unknown,False
give me a summary of the deployment frequency trends this year,summarization,pipeline,True
cordon the node before maintenance,execution,infrastructure,True
run the load test against staging environment,execution,job,True
how do I build a model train,out_of_scope,unknown,False
tell me about movies,out_of_scope,unknown,False
configure the nfs export options for the new client,execution,service,True
scale data cache,execution,infrastructure,True
what is a galaxy,out_of_scope,unknown,False
who is vincent van gogh,out_of_scope,unknown,False
who won the tour de france recently,out_of_scope,unknown,False
clear the zfs arc cache to free memory,execution,infrastructure,True
upgrade the control plane to the new version,execution,service,True
summarize the request timeout frequency by endpoint,summarization,service,True
give me an overview of the cache performance metrics,summarization,infrastructure,True
rebuild the corrupted index on the users table,execution,service,True
tell me about the mongol empire,out_of_scope,unknown,False
tell me about the middle ages,out_of_scope,unknown,False
summarize the toil reduction progress this quarter,summarization,service,True
configure the connection timeout to 30 seconds,execution,infrastructure,True
what is cryptocurrency,out_of_scope,unknown,False
provide a brief on the secrets rotation completion status,summarization,service,True
investigate the network timeout between microservices,investigate,service,True
investigate the service endpoint returning wrong data,investigate,service,True
summarize the cold storage archival progress,summarization,infrastructure,True
why is the cache invalidation not propagating,investigate,infrastructure,True
investigate why the service is not reachable,investigate,service,True
investigate timeout errors,investigate,unknown,True
why is the config reload triggering connection draining,investigate,infrastructure,True
tell me about the battle of waterloo,out_of_scope,unknown,False
scale up the database replica,execution,infrastructure,True
analyze the certificate pinning failures in mobile clients,investigate,infrastructure,True
what is sculpture,out_of_scope,unknown,False
what is the speed of a bullet,out_of_scope,unknown,False
summarize the cross-team dependency updates,summarization,service,True
tell me about the polynesian navigation,out_of_scope,unknown,False
update the soa record on the authoritative dns,execution,infrastructure,True
what is a supernova,out_of_scope,unknown,False
analyze the retry storm on downstream services,investigate,service,True
what is oceanography,out_of_scope,unknown,False
configure the cosign policy for image verification,execution,pipeline,True
investigate the recurring alert for swap usage,investigate,metric,True
summarize troubleshooting steps,summarization,unknown,False
give me an overview of the fleet patching status,summarization,service,True
configure the hugepage allocation at boot,execution,service,True
reset application state,execution,unknown,False
investigate the page cache thrashing issue,investigate,infrastructure,True
provide a recap of the operational maturity assessments,summarization,service,True
run the certificate renewal automation,execution,infrastructure,True
what is artificial intelligence,out_of_scope,unknown,False
configure the weighted routing between blue and green,execution,pipeline,True
what is photosynthesis,out_of_scope,unknown,False
scale the ingress controller replicas,execution,infrastructure,True
analyze the io latency breakdown on nvme drives,investigate,metric,True
provide a recap of the data pipeline job outcomes,summarization,pipeline,True
apply the helm values override for the hotfix,execution,service,True
why is the CDN cache invalidation not working,investigate,infrastructure,True
what is yoga,out_of_scope,unknown,False
give me a brief on the vendor incident reports,summarization,incident,True
investigate the cpu pinning misconfiguration on host,investigate,service,True
configure the load shedding threshold on the api,execution,service,True
apply the pod security admission config,execution,infrastructure,True
