utterance,gold_intent,parsed_intent,entity,symptom,time_context,reasoning_mode
summarize the horizontal pod autoscaler activity,summarization,summarization,horizontal_pod_autoscaler,,,reporting
provide a recap of the cost trends by environment,summarization,summarization,cost_trends,,,reporting
how do I play basketball,out_of_scope,out_of_scope,,,,reject
configure the health check interval to 30 seconds,execution,execution,health_check,,,action
inject a latency fault into the payment service,execution,execution,payment_service,latency_high,,action
summarize the observability stack health,summarization,summarization,observability_stack,,,reporting
why is the backup not completing within the window,investigate,investigate,backup,not_completing,sla_window,diagnostic
summarize the scheduled downtime impact on availability sla,summarization,summarization,availability_sla,,,reporting
tell me about travel,out_of_scope,out_of_scope,,,,reject
check why the message acknowledgment is not being sent,investigate,investigate,message_ack,,,diagnostic
enable the volume snapshot class for backup,execution,execution,backup,,,action
restart the message queue consumers,execution,execution,message_queue,,,action
tell me about the industrial revolution,out_of_scope,out_of_scope,message_queue,,,reject
check why the aggregation job is producing empty output,investigate,investigate,aggregation_job,empty_output,,diagnostic
what is a comet,out_of_scope,out_of_scope,kubernetes_node,,,reject
provide a brief on the service catalog update status,summarization,summarization,service,,,reporting
how do I learn woodworking,out_of_scope,out_of_scope,,,,reject
analyze the rate of retries on downstream calls,investigate,investigate,rate_limiting,,,diagnostic
who wrote the aeneid,out_of_scope,out_of_scope,message_queue,,,reject
summarize the load test performance baseline results,summarization,summarization,load_test,,,reporting
how do I start a business,out_of_scope,out_of_scope,,,,reject
analyze the pod restart loop on the payment service,investigate,investigate,pod,restart_loop,,diagnostic
tell me about dinosaurs,out_of_scope,out_of_scope,,,,reject
what is the population of the earth,out_of_scope,out_of_scope,,,,reject
check why the kubernetes node is not ready,investigate,investigate,kubernetes_node,not_ready,,diagnostic
provision additional read replicas for the database,execution,execution,database,,,action
provide a recap of the network changes this quarter,summarization,summarization,network_policy,,this_quarter,reporting
how do I make ice cream,out_of_scope,out_of_scope,,,,reject
how do I juggle,out_of_scope,out_of_scope,,,,reject
investigate the TLS handshake failures,investigate,investigate,tls,failure,,diagnostic
provide a brief on the message delivery success rate,summarization,summarization,message_queue,,,reporting
provide a recap of the release frequency this quarter,summarization,summarization,release_frequency,,this_quarter,reporting
give me an overview of the release notes for version 5.0,summarization,summarization,release_notes,,,reporting
investigate disk I/O bottleneck,investigate,investigate,disk_io,bottleneck,,diagnostic
who painted starry night,out_of_scope,out_of_scope,,,,reject
why is throughput degraded,investigate,investigate,kubernetes_node,degraded,,diagnostic
provide a summary of the log analysis findings,summarization,summarization,logs,,,reporting
tell me about the bermuda triangle,out_of_scope,out_of_scope,message_queue,,,reject
who composed requiem,out_of_scope,out_of_scope,,,,reject
provide a brief of the runbook updates this month,summarization,summarization,message_queue,,,reporting
stop the runaway query,execution,execution,database,,,action
run the chef recipe on the fleet,execution,execution,message_queue,,,action
summarize the observability signal quality this quarter,summarization,summarization,observability_stack,,this_quarter,reporting
tell me about ancient greece,out_of_scope,out_of_scope,,,,reject
configure the destination rule circuit breaker,execution,execution,circuit_breaker,,,action
check why the database schema version does not match,investigate,investigate,database,,,diagnostic
give me a summary of the pod scheduling efficiency,summarization,summarization,pod,,,reporting
tell me about the han dynasty,out_of_scope,out_of_scope,message_queue,,,reject
tell me about the great barrier reef,out_of_scope,out_of_scope,message_queue,,,reject
provide node status summary,summarization,summarization,kubernetes_node,,,reporting
investigate the broken pipe errors in application logs,investigate,investigate,logs,error,,diagnostic
what is causing service degradation,investigate,investigate,service,degraded,,diagnostic
tell me about the crusades,out_of_scope,out_of_scope,message_queue,,,reject
how do I learn morse code,out_of_scope,out_of_scope,,,,reject
provide a brief on the key metrics from last night,summarization,summarization,metrics,,last_night,reporting
why does the pod take too long to enter running state,investigate,investigate,pod,,,diagnostic
why is the redis cluster showing high fragmentation,investigate,investigate,kubernetes_cluster,,,diagnostic
what is meteorology,out_of_scope,out_of_scope,logs,,,reject
investigate high error rate,investigate,investigate,error_budget,error,,diagnostic
summarize the cost optimization actions taken this month,summarization,summarization,cost_trends,,,reporting
summarize the etl job success and failure rates,summarization,summarization,,failure,,reporting
how do I make ramen from scratch,out_of_scope,out_of_scope,,,,reject
run the health check script on all instances,execution,execution,health_check,,,action
tell me about the spanish armada,out_of_scope,out_of_scope,message_queue,,,reject
summarize what actions were taken,summarization,out_of_scope,,,,reject
provide a brief on the long-running query trends,summarization,summarization,database,,,reporting
give me a summary of the latency percentile trends,summarization,summarization,cost_trends,latency_high,,reporting
what is relativity theory,out_of_scope,out_of_scope,kubernetes_node,,,reject
provide a recap of the automated remediation actions,summarization,summarization,message_queue,,,reporting
give me a recap of the key findings from the postmortem review,summarization,out_of_scope,,,,reject
how do I surf,out_of_scope,out_of_scope,,,,reject
give me a summary of the api consumer adoption trends,summarization,summarization,api,,,reporting
update the known hosts file after host migration,execution,execution,message_queue,,,action
apply the io scheduler change to deadline,execution,execution,dns,,,action
summarize the ssl certificate expiry status across services,summarization,summarization,certificate,,,reporting
analyze the latency introduced by the proxy sidecar,investigate,investigate,reverse_proxy,latency_high,,diagnostic
how is the weather today,out_of_scope,out_of_scope,,,today,reject
configure the container registry garbage collection,execution,execution,container_image,,,action
how do I tie a tie,out_of_scope,out_of_scope,,,,reject
summarize the user impact analysis from the last incident,summarization,summarization,incident,,,reporting
what is causing the excessive memory paging,investigate,out_of_scope,,,,reject
check why the ephemeral storage is filling up quickly,investigate,investigate,storage,,,diagnostic
check what caused the crash,investigate,investigate,health_check,crash,,diagnostic
provide a recap of the cross-service dependency changes,summarization,summarization,service,,,reporting
give me a summary of the top database tables by row count,summarization,summarization,database,,,reporting
why is the snapshot restore taking longer than expected,investigate,investigate,volume_snapshot,,,diagnostic
what is causing the repeated auth failures,investigate,investigate,tls,failure,,diagnostic
what is the stock market,out_of_scope,out_of_scope,,,,reject
provide a brief on the ratio of planned versus unplanned work,summarization,summarization,message_queue,,,reporting
check why the api gateway is caching stale tokens,investigate,investigate,api_gateway,,,diagnostic
tell me about music,out_of_scope,out_of_scope,,,,reject
what is a catalyst,out_of_scope,out_of_scope,kubernetes_node,,,reject
summarize the release impact on key user flows,summarization,summarization,metrics,,,reporting
tell me about architecture,out_of_scope,out_of_scope,,,,reject
what is the speed of light,out_of_scope,out_of_scope,,,,reject
what is a gene,out_of_scope,out_of_scope,kubernetes_node,,,reject
restart container,execution,execution,container_image,,,action
give me a summary of alerts for last week,summarization,summarization,alerting,,last_week,reporting
investigate why websocket connections are dropping,investigate,investigate,,drop,,diagnostic
set the socket receive buffer size for throughput,execution,execution,message_queue,,,action
investigate the intermittent connection resets,investigate,investigate,connection_pool,,,diagnostic
what is causing the service to consume 100 percent cpu,investigate,investigate,service,,,diagnostic
give me an overview of the tenant usage statistics,summarization,summarization,message_queue,,,reporting
investigate the async callback queue overflow,investigate,investigate,message_queue,overflow,,diagnostic
summarize the system hardening checklist compliance,summarization,summarization,message_queue,,,reporting
how do I train a dog basic commands,out_of_scope,out_of_scope,,,,reject
summarize what alerts fired during the incident window,summarization,summarization,alerting,,,reporting
why is the compaction process stalling on cassandra,investigate,out_of_scope,,,,reject
summarize the third party integration health,summarization,summarization,service,,,reporting
run the chaos engineering test on staging,execution,execution,load_test,,,action
what is anthropology,out_of_scope,out_of_scope,logs,,,reject
summarize incident timeline,summarization,summarization,incident,,,reporting
what is a supernova,out_of_scope,out_of_scope,kubernetes_node,,,reject
update the kerberos keytab on the server,execution,out_of_scope,,,,reject
give me an overview of the external dependency health,summarization,summarization,service,,,reporting
why is the etcd cluster showing leader election issues,investigate,investigate,kubernetes_cluster,,,diagnostic
summarize the api gateway performance for the past sprint,summarization,summarization,api_gateway,,past,reporting
what is the greenhouse gas,out_of_scope,out_of_scope,,,,reject
give me a brief on the vendor incident reports,summarization,summarization,incident,,,reporting
how do I play tennis,out_of_scope,out_of_scope,,,,reject
apply the resource quota to the namespace,execution,execution,namespace,,,action
who discovered electricity,out_of_scope,out_of_scope,,,,reject
give me a brief on the service health dashboard metrics,summarization,summarization,service,,,reporting
provide a brief on the rollback rate trends,summarization,summarization,rate_limiting,,,reporting
how do I make miso paste,out_of_scope,out_of_scope,,,,reject
run the trivy vulnerability scan on the image,execution,out_of_scope,,,,reject
cordon the node before maintenance,execution,execution,kubernetes_node,,,action
why is the background sync job being preempted,investigate,investigate,message_ack,,,diagnostic
apply the coredns custom forwarding rule,execution,execution,dns,,,action
summarize the compliance remediation progress,summarization,summarization,message_queue,,,reporting
enable cross-origin resource sharing headers,execution,execution,resource_quota,,,action
summarize capacity report,summarization,out_of_scope,,,,reject
why is the reverse proxy adding unexpected headers,investigate,investigate,reverse_proxy,,,diagnostic
check what is causing the cache stampede,investigate,investigate,cache,,,diagnostic
enable the web application firewall rules,execution,execution,message_queue,,,action
analyze the kernel scheduler latency spikes,investigate,investigate,message_queue,latency_high,,diagnostic
give me an overview of the capacity headroom by service,summarization,summarization,service,,,reporting
who is galileo,out_of_scope,out_of_scope,kubernetes_node,,,reject
how do I tie dye a shirt,out_of_scope,out_of_scope,,,,reject
provide a brief on the retry rate trends,summarization,summarization,rate_limiting,,,reporting
provide a brief on the system vulnerability exposure index,summarization,summarization,message_queue,,,reporting
start the disaster recovery failover procedure,execution,execution,message_queue,failure,,action
how do I whistle,out_of_scope,out_of_scope,,,,reject
how do I skip stones,out_of_scope,out_of_scope,,,,reject
summarize the multi-region deployment status,summarization,summarization,deployment,,,reporting
enable the vpa recommendation mode on the namespace,execution,execution,namespace,,,action
run the tls delegation certificate signing request,execution,execution,tls,,,action
tell me about the maya calendar,out_of_scope,out_of_scope,message_queue,,,reject
what is magnetism,out_of_scope,out_of_scope,kubernetes_node,,,reject
what is nanotechnology,out_of_scope,out_of_scope,logs,,,reject
investigate the cache warmup causing latency at startup,investigate,investigate,cache,latency_high,,diagnostic
investigate the http pipelining issue on the proxy,investigate,investigate,reverse_proxy,,,diagnostic
investigate the namespace collision in kubernetes,investigate,investigate,namespace,,,diagnostic
summarize the data pipeline execution summary,summarization,summarization,ci_cd_pipeline,,,reporting
how do I learn how to play harmonica,out_of_scope,out_of_scope,,,,reject
why is the health status endpoint returning wrong version,investigate,investigate,service,error,,diagnostic
investigate the data corruption in table orders,investigate,investigate,message_queue,,,diagnostic
check why the circuit breaker keeps tripping,investigate,investigate,circuit_breaker,,,diagnostic
why are write locks being held for too long,investigate,investigate,message_ack,,,diagnostic
what is a black dwarf star,out_of_scope,out_of_scope,kubernetes_node,,,reject
reset application state,execution,out_of_scope,,,,reject
give me a brief on the auto-scaling behavior this week,summarization,summarization,message_queue,,this_week,reporting
give me an overview of the kafka consumer lag trends,summarization,summarization,kafka,,,reporting
prune the docker volumes on the build agent,execution,execution,message_queue,,,action
configure the retry policy with exponential backoff,execution,execution,network_policy,,,action
tell me about the sumerian civilization,out_of_scope,out_of_scope,message_queue,,,reject
why is the ssl certificate expired on prod,investigate,investigate,certificate,,,diagnostic
who is aristotle and his philosophy,out_of_scope,out_of_scope,kubernetes_node,,,reject
look into the certificate chain validation error,investigate,investigate,certificate,error,,diagnostic
check what is causing the spike in error rate,investigate,investigate,,error,,diagnostic
provide cache hit summary,summarization,summarization,cache,,,reporting
force garbage collection,execution,out_of_scope,,,,reject
redeploy the microservice with the fix,execution,execution,service,,,action
how do I start a garden,out_of_scope,out_of_scope,,,,reject
provide a recap of the data pipeline job outcomes,summarization,summarization,ci_cd_pipeline,,,reporting
why is the dns ttl causing stale lookups,investigate,investigate,dns,,,diagnostic
rebalance the kafka topic partitions,execution,execution,kafka,,,action
what is causing the node disk pressure warning,investigate,investigate,kubernetes_node,,,diagnostic
scale job scheduler,execution,execution,cron_job,,,action
why is the batch job consuming all available memory,investigate,investigate,batch_job,,,diagnostic
what time is it,out_of_scope,out_of_scope,kubernetes_node,,,reject
how do I clean a cast iron pan,out_of_scope,out_of_scope,,,,reject
how do I make a quilt,out_of_scope,out_of_scope,,,,reject
how do I make pesto from scratch,out_of_scope,out_of_scope,,,,reject
who is florence nightingale,out_of_scope,out_of_scope,kubernetes_node,,,reject
how do I learn to surf beginner tips,out_of_scope,out_of_scope,,,,reject
give me an overview of the platform reliability metrics,summarization,summarization,metrics,,,reporting
enable the transparent hugepages for the database,execution,execution,database,,,action
provide a brief on the jvm memory pool utilization,summarization,summarization,connection_pool,,,reporting
scale the worker pool to 20 instances,execution,execution,connection_pool,,,action
provide a summary of the dns query patterns,summarization,summarization,dns,,,reporting
examine the kernel panic logs on host-42,investigate,investigate,logs,,,diagnostic
migrate the database schema to version 3.2,execution,execution,database,,,action
give me a summary of the top recurring failure modes,summarization,summarization,dns,failure,,reporting
check the semaphore deadlock in the process pool,investigate,out_of_scope,,,,reject
update the opensearch index template,execution,execution,message_queue,,,action
why are retries increasing the backend load,investigate,investigate,load_test,,,diagnostic
analyze the cause of the high cardinality in logs,investigate,investigate,logs,,,diagnostic
who is frida kahlo,out_of_scope,out_of_scope,kubernetes_node,,,reject
enable the numa-aware memory allocation,execution,execution,message_queue,,,action
what is climate change,out_of_scope,out_of_scope,dns,,,reject
why is the distributed transaction not committing,investigate,investigate,distributed_tracing,,,diagnostic
tell me about the golden age of islam,out_of_scope,out_of_scope,availability_sla,,,reject
switch traffic to the blue deployment,execution,execution,deployment,,,action
what is a solar system,out_of_scope,out_of_scope,kubernetes_node,,,reject
give me a summary of the resource consumption by service,summarization,summarization,service,,,reporting
give me a summary of the top 10 high-memory services,summarization,summarization,service,,,reporting
what is philosophy,out_of_scope,out_of_scope,kubernetes_node,,,reject
restart health check,execution,execution,health_check,,,action
enable the graceful shutdown sequence on the workers,execution,execution,message_queue,,,action
enable the maintenance page on the cdn,execution,execution,message_queue,,,action
give me an overview of the cache performance metrics,summarization,summarization,cache,,,reporting
summarize monthly trends,summarization,summarization,cost_trends,,,reporting
summarize the api gateway error breakdown for the week,summarization,summarization,api_gateway,error,,reporting
who is napoleon,out_of_scope,out_of_scope,kubernetes_node,,,reject
summarize the api deprecation timeline and impact,summarization,summarization,api,,,reporting
provide a recap of the compliance checks this quarter,summarization,summarization,health_check,,this_quarter,reporting
how do I fold a paper airplane,out_of_scope,out_of_scope,,,,reject
how do I build a model train,out_of_scope,out_of_scope,,,,reject
investigate the cpu steal time on the vm host,investigate,investigate,message_queue,,,diagnostic
give me a summary of the audit findings by control area,summarization,out_of_scope,,,,reject
how do I draw,out_of_scope,out_of_scope,,,,reject
check why the replica is not accepting writes,investigate,investigate,kubernetes_node,,,diagnostic
configure the slack webhook for incident notifications,execution,execution,incident,,,action
tell me about coral reefs,out_of_scope,out_of_scope,,,,reject
analyze the high rate of cache evictions,investigate,investigate,cache,,,diagnostic
bounce the application pool in iis,execution,execution,connection_pool,,,action
configure the secret zero bootstrap for the service,execution,execution,service,,,action
analyze the cpu soft irq time spikes,investigate,investigate,message_queue,spike,,diagnostic
label the nodes for the gpu workload,execution,execution,kubernetes_node,,,action
what is evolution,out_of_scope,out_of_scope,kubernetes_node,,,reject
investigate the stale configmap being used after rollout,investigate,out_of_scope,,,,reject
apply the updated retention policy to the log bucket,execution,execution,logs,,,action
remove the stale cname record,execution,execution,message_queue,,,action
how do I make a terrarium,out_of_scope,out_of_scope,,,,reject
tell me about chameleons,out_of_scope,out_of_scope,,,,reject
sync the configuration from the control plane,execution,execution,message_queue,,,action
who invented the airplane,out_of_scope,out_of_scope,message_queue,,,reject
restart the coordination service,execution,execution,service,,,action
enable the brotli compression on the proxy,execution,execution,reverse_proxy,,,action
execute the blue green deployment switch,execution,execution,deployment,,,action
investigate the slow kafka consumer group commit,investigate,investigate,kafka,slow,,diagnostic
apply the horizontal pod autoscaler policy,execution,execution,horizontal_pod_autoscaler,,,action
summarize the load test results from yesterday,summarization,summarization,load_test,,yesterday,reporting
enable circuit breaker,execution,execution,circuit_breaker,,,action
what is the most spoken language in the world,out_of_scope,out_of_scope,,,,reject
enable the slow query log on the database,execution,execution,database,slow,,action
check what is causing the repeated pod preemptions,investigate,investigate,pod,,,diagnostic
check what caused sync failure,investigate,investigate,health_check,failure,,diagnostic
provide a recap of the capacity forecast model output,summarization,summarization,aggregation_job,,,reporting
what is entropy,out_of_scope,out_of_scope,kubernetes_node,,,reject
why are the kubernetes events showing back-off restart,investigate,investigate,kubernetes_node,,,diagnostic
give me an overview of the service catalog coverage gaps,summarization,summarization,service,,,reporting
tell me about wolves,out_of_scope,out_of_scope,,,,reject
configure the cache-control headers on the web server,execution,execution,cache,,,action
