utterance,intent,entity_type,domain_valid
summarize the horizontal pod autoscaler activity,summarization,infrastructure,True
provide a recap of the cost trends by environment,summarization,metric,True
how do I play basketball,out_of_scope,unknown,False
configure the health check interval to 30 seconds,execution,metric,True
inject a latency fault into the payment service,execution,service,True
summarize the observability stack health,summarization,metric,True
why is the backup not completing within the window,investigate,infrastructure,True
summarize the scheduled downtime impact on availability sla,summarization,metric,True
tell me about travel,out_of_scope,unknown,False
check why the message acknowledgment is not being sent,investigate,service,True
enable the volume snapshot class for backup,execution,infrastructure,True
restart the message queue consumers,execution,service,True
tell me about the industrial revolution,out_of_scope,service,False
check why the aggregation job is producing empty output,investigate,job,True
what is a comet,out_of_scope,infrastructure,False
provide a brief on the service catalog update status,summarization,service,True
how do I learn woodworking,out_of_scope,unknown,False
analyze the rate of retries on downstream calls,investigate,infrastructure,True
who wrote the aeneid,out_of_scope,service,False
summarize the load test performance baseline results,summarization,job,True
how do I start a business,out_of_scope,unknown,False
analyze the pod restart loop on the payment service,investigate,infrastructure,True
tell me about dinosaurs,out_of_scope,unknown,False
what is the population of the earth,out_of_scope,unknown,False
check why the kubernetes node is not ready,investigate,infrastructure,True
provision additional read replicas for the database,execution,infrastructure,True
provide a recap of the network changes this quarter,summarization,infrastructure,True
how do I make ice cream,out_of_scope,unknown,False
how do I juggle,out_of_scope,unknown,False
investigate the TLS handshake failures,investigate,infrastructure,True
provide a brief on the message delivery success rate,summarization,service,True
provide a recap of the release frequency this quarter,summarization,pipeline,True
give me an overview of the release notes for version 5.0,summarization,pipeline,True
investigate disk I/O bottleneck,investigate,metric,True
who painted starry night,out_of_scope,unknown,False
why is throughput degraded,investigate,infrastructure,True
provide a summary of the log analysis findings,summarization,metric,True
tell me about the bermuda triangle,out_of_scope,service,False
who composed requiem,out_of_scope,unknown,False
provide a brief of the runbook updates this month,summarization,service,True
stop the runaway query,execution,infrastructure,True
run the chef recipe on the fleet,execution,service,True
summarize the observability signal quality this quarter,summarization,metric,True
tell me about ancient greece,out_of_scope,unknown,False
configure the destination rule circuit breaker,execution,infrastructure,True
check why the database schema version does not match,investigate,infrastructure,True
give me a summary of the pod scheduling efficiency,summarization,infrastructure,True
tell me about the han dynasty,out_of_scope,service,False
